name,category,price
Low Fat Milk 3l,Dairy,3.25
Brennas be good bread,Bread,2.19
Onion,Fruits and Vegetables,0.99
Tomato,Fruits and Vegetables,1.29
Royal gala apples 6 piece,Fruits and Vegetables,3.0
Eggs 12 P,Dairy,2.99
Potato,Fruits and Vegetables,1.99
Corn cake,Snacks,1.0
Coriander,Fruits and Vegetables,1.0
Mint,Fruits and Vegetables,1.0
Chick peas,Pulses and Grains,0.44
Pasta Italian Tomato,Pasta,1.0
Paneer,Dairy,1.99
Milk,Dairy,3.25
Chhole,Pulses and Grains,0.44
Salt,Condiments and Spices,0.45
Eggs,Dairy,2.99
White Rice,Pulses and Grains,1.59
Otis,Snacks,1.0
CCB,Snacks,1.99
Frozen sliced capsicum,Frozen Foods,1.0
Trash bags general,Household,0.79
Beans,Pulses and Grains,1.0
Burger patties,Meat and Fish,3.0
Burger buns,Bread,1.09
Salad,Fruits and Vegetables,1.09
Toilet paper,Household,1.29
Chicken,Meat and Fish,5.99
Blueberries,Fruits and Vegetables,2.79
Frozen fish Omega 3,Frozen Foods,1.49
Fairy non bio pods 33,Household,9.5
Capsicum,Fruits and Vegetables,1.0
Brown rice,Pulses and Grains,1.3
Vegetable Oil,Condiments and Spices,1.59
Garlic,Fruits and Vegetables,1.0
Frozen Peas,Frozen Foods,1.0
Curd,Dairy,0.69
Pasta,Pasta,1.99
Kitchen cleaners,Household,1.0
Avocado,Fruits and Vegetables,0.78
Croissant,Bread,1.5
Cucumber,Fruits and Vegetables,0.89
Spinach,Fruits and Vegetables,1.59
